Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
1989,1,4,3,1753,1740,1837,1820,UA,185,NA,44,40,NA,17,13,HNL,LIH,102,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,5,4,1735,1740,1820,1820,UA,185,NA,45,40,NA,0,-5,HNL,LIH,102,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,6,5,1926,1740,2008,1820,UA,185,NA,42,40,NA,108,106,HNL,LIH,102,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,7,6,1739,1740,1819,1820,UA,185,NA,40,40,NA,-1,-1,HNL,LIH,102,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,8,7,1736,1740,1817,1820,UA,185,NA,41,40,NA,-3,-4,HNL,LIH,102,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,9,1,1741,1740,1826,1820,UA,185,NA,45,40,NA,6,1,HNL,LIH,102,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,10,2,1740,1740,1821,1820,UA,185,NA,41,40,NA,1,0,HNL,LIH,102,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,11,3,1740,1740,1821,1820,UA,185,NA,41,40,NA,1,0,HNL,LIH,102,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,12,4,1744,1740,1831,1820,UA,185,NA,47,40,NA,11,4,HNL,LIH,102,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,14,6,1740,1740,1822,1820,UA,185,NA,42,40,NA,2,0,HNL,LIH,102,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,15,7,1735,1740,1822,1820,UA,185,NA,47,40,NA,2,-5,HNL,LIH,102,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,16,1,1738,1740,1818,1820,UA,185,NA,40,40,NA,-2,-2,HNL,LIH,102,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,17,2,1756,1740,1835,1820,UA,185,NA,39,40,NA,15,16,HNL,LIH,102,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,18,3,1736,1740,1818,1820,UA,185,NA,42,40,NA,-2,-4,HNL,LIH,102,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,19,4,1736,1740,1817,1820,UA,185,NA,41,40,NA,-3,-4,HNL,LIH,102,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,20,5,1737,1740,1824,1820,UA,185,NA,47,40,NA,4,-3,HNL,LIH,102,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,21,6,1801,1740,1847,1820,UA,185,NA,46,40,NA,27,21,HNL,LIH,102,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,22,7,1802,1740,1843,1820,UA,185,NA,41,40,NA,23,22,HNL,LIH,102,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,23,1,1808,1740,1858,1820,UA,185,NA,50,40,NA,38,28,HNL,LIH,102,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,24,2,1739,1740,1831,1820,UA,185,NA,52,40,NA,11,-1,HNL,LIH,102,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,25,3,1737,1740,1825,1820,UA,185,NA,48,40,NA,5,-3,HNL,LIH,102,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,26,4,1737,1740,1813,1820,UA,185,NA,36,40,NA,-7,-3,HNL,LIH,102,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,27,5,1738,1740,1824,1820,UA,185,NA,46,40,NA,4,-2,HNL,LIH,102,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,28,6,1747,1740,1831,1820,UA,185,NA,44,40,NA,11,7,HNL,LIH,102,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,29,7,1738,1740,1818,1820,UA,185,NA,40,40,NA,-2,-2,HNL,LIH,102,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,30,1,1740,1740,1825,1820,UA,185,NA,45,40,NA,5,0,HNL,LIH,102,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,31,2,1746,1740,1842,1820,UA,185,NA,56,40,NA,22,6,HNL,LIH,102,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,1,7,828,830,1109,1131,UA,185,NA,341,361,NA,-22,-2,PHL,SFO,2521,NA,NA,0,NA,0,NA,NA,NA,NA,NA
